Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes
Compare yourself to others only in a noble and just manner - lest you create envy in others,General,Neutral,Reflective,General,Anytime Wisdom,91,6.8,"Slandering and harming others because of envy is utterly evil; Judge not a book by its cover, nor the writing within alone, but compare it to all; Never fully trust someone without noble values"
"Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason",General,Neutral,Advisory,General,Anytime Wisdom,109,8.2,"Things always happen for a reason, not necessarily yours on lesse you will it; Learn what reason is; Always pay your dues, ahead of time preferably, because rewards are often associated"
Never fully trust someone without noble values,General,Neutral,Advisory,General,Anytime Wisdom,46,3.5,It is best to live with some values than none; Trust in the Irishman when he assaults your partner; Trust your intuition above others if better educated and life experienced
"Cherished are those well versed in communication, but better gifted are those blessed with a heart",General,Neutral,Reflective,General,Anytime Wisdom,98,7.4,Keep in communication with your family because people change fast; Love in any form does not necessarily need verbal communication; If you suffer may you remember there is always someone relatively worse - relative to your cherished own standards
"Heed wisdoms of old, to console wisdoms of the present",Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,54,4.1,If you have nothing good to say about someone then heed his/her plea; The empires of the present are encumbered by the mind; There is so much beauty and representative truth in myths of old
Love comes and goes many times over but a soulmate may only come once,Love,Neutral,Reflective,Relationships,Spiritual Prompt,69,5.2,Appreciate good fortune when it comes to you; You may not realise the face of poverty until it comes to you; Success doesn't come to you; it is to be discovered by your own accord
Always look a gift vehicle under the bonnet,General,Neutral,Advisory,General,Anytime Wisdom,43,3.2,"When purchasing someone a gift book for someone, be sure you know them well; Infinity explained; just look at a coffee mug and think; When stuck at sea, do not underestimate the gift of the gab"
Be attentive to what is said about you as it reflects your own nature,General,Neutral,Reflective,General,Evening Reflection,69,5.2,Believe in yourself even when no one believes in you but be attentive to any wisdom; I believe that life for ‘believers' is said to last at ‘least' seven thousand years; Nature is most kind to those with a display of passion
Genuine altruism asks for compassion to others en parallel to compassion to self,General,Neutral,Reflective,General,Anytime Wisdom,80,6,Throughout time reasoning in ethics have warranted that compassion leads to better lives; Pure altruism necessitates a sacrifice of the self for the sake of another; Every genuine artist has his/her own style
Pure altruism necessitates a sacrifice of the self for the sake of another,General,Neutral,Reflective,General,Anytime Wisdom,74,5.6,Genuine altruism asks for compassion to others en parallel to compassion to self; Forgive but forget not for the sake of wisdom only; Most anti-altruists would openly sacrifice their life for their mums - ponder...
Forgive but forget not for the sake of wisdom only,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,50,3.8,"Never forget a remembrance day to a loved one; Pure altruism necessitates a sacrifice of the self for the sake of another; Remember compliments, forget insults but only if untrue and not harmful"
"Pursue your passion and not the money, and if a compromise may be found, so be it",General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,Unformed is he/she who never attempted to pursue their passion at least once; Ironically there is always a way to compromise safety; Nature is most kind to those with a display of passion
Remember kind and bad words but dwell on only the kind ones,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"Nature is most kind to those with a display of passion; In a universe with infinites, no matter what kind, mayhap every religion needs respect; There is so much beauty in words and it is words that conquers a nation"
