Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
Compare yourself to others only in a noble and just manner - lest you create envy in others,General,Neutral,Reflective,General,Anytime Wisdom,91,6.8,"Slandering and harming others because of envy is utterly evil; Judge not a book by its cover, nor the writing within alone, but compare it to all; Never fully trust someone without noble values","But if ye have bitter envying and strife in your hearts, glory not, and lie not against the truth.",James 3:14
"Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason",General,Neutral,Advisory,General,Anytime Wisdom,109,8.2,"Things always happen for a reason, not necessarily yours on lesse you will it; Learn what reason is; Always pay your dues, ahead of time preferably, because rewards are often associated","Open thy mouth, judge righteously, and plead the cause of the poor and needy.",Proverbs 31:9
Never fully trust someone without noble values,General,Neutral,Advisory,General,Anytime Wisdom,46,3.5,It is best to live with some values than none; Trust in the Irishman when he assaults your partner; Trust your intuition above others if better educated and life experienced,"Trust not in oppression, and become not vain in robbery: if riches increase, set not your heart upon them.",Psalms 62:10
"Cherished are those well versed in communication, but better gifted are those blessed with a heart",General,Neutral,Reflective,General,Anytime Wisdom,98,7.4,Keep in communication with your family because people change fast; Love in any form does not necessarily need verbal communication; If you suffer may you remember there is always someone relatively worse - relative to your cherished own standards,"Howbeit we speak wisdom among them that are perfect: yet not the wisdom of this world, nor of the princes of this world, that come to nought:",I Corinthians 2:6
"Heed wisdoms of old, to console wisdoms of the present",Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,54,4.1,If you have nothing good to say about someone then heed his/her plea; The empires of the present are encumbered by the mind; There is so much beauty and representative truth in myths of old,For the Lord giveth wisdom: out of his mouth cometh knowledge and understanding.,Proverbs 2:6
Love comes and goes many times over but a soulmate may only come once,Love,Neutral,Reflective,Relationships,Spiritual Prompt,69,5.2,Appreciate good fortune when it comes to you; You may not realise the face of poverty until it comes to you; Success doesn't come to you; it is to be discovered by your own accord,"And this I pray, that your love may abound yet more and more in knowledge and in all judgment;",Philippians 1:9
Always look a gift vehicle under the bonnet,General,Neutral,Advisory,General,Anytime Wisdom,43,3.2,"When purchasing someone a gift book for someone, be sure you know them well; Infinity explained; just look at a coffee mug and think; When stuck at sea, do not underestimate the gift of the gab","And a mitre of fine linen, and goodly bonnets of fine linen, and linen breeches of fine twined linen,",Exodus 39:28
Be attentive to what is said about you as it reflects your own nature,General,Neutral,Reflective,General,Evening Reflection,69,5.2,Believe in yourself even when no one believes in you but be attentive to any wisdom; I believe that life for ‘believers' is said to last at ‘least' seven thousand years; Nature is most kind to those with a display of passion,I have many things to say and to judge of you: but he that sent me is true; and I speak to the world those things which I have heard of him.,John 8:26
Genuine altruism asks for compassion to others en parallel to compassion to self,General,Neutral,Reflective,General,Anytime Wisdom,80,6.0,Throughout time reasoning in ethics have warranted that compassion leads to better lives; Pure altruism necessitates a sacrifice of the self for the sake of another; Every genuine artist has his/her own style,"And of some have compassion, making a difference:",Jude 1:22
Pure altruism necessitates a sacrifice of the self for the sake of another,General,Neutral,Reflective,General,Anytime Wisdom,74,5.6,Genuine altruism asks for compassion to others en parallel to compassion to self; Forgive but forget not for the sake of wisdom only; Most anti-altruists would openly sacrifice their life for their mums - ponder...,For thou desirest not sacrifice; else would I give it: thou delightest not in burnt offering.,Psalms 51:16
